Date,Temperature,Flow rate
29/08/2016,770.7807007,20.00819588
30/08/2016,771.7009888,26.36885262
30/08/2016,771.2386475,21.91700745
30/08/2016,772.4040527,34.30635071
30/08/2016,776.038147,34.60911942
31/08/2016,775.4769287,35.375
31/08/2016,775.5522461,35.48975372
31/08/2016,748.7377319,24.74846268
31/08/2016,741.9070435,17.63780785
01/09/2016,742.5493774,23.77510262
01/09/2016,742.4234619,22.53739738
01/09/2016,742.1640015,21.97438431
01/09/2016,742.3304443,22.43032837
02/09/2016,742.2731323,21.50409889
02/09/2016,741.7232666,18.10041046
02/09/2016,740.5842896,18.72643471
02/09/2016,740.6329346,10.88114738
03/09/2016,738.2843628,14.17366791
03/09/2016,738.8290405,16.02202797
03/09/2016,737.7803955,17.95440483
03/09/2016,738.6262207,11.8232584
04/09/2016,738.4654541,12.70338154
04/09/2016,739.5400391,11.81967258
04/09/2016,677.9544678,9.591700554
04/09/2016,732.7097168,17.69416046
05/09/2016,732.47229,18.11629105
05/09/2016,731.5413208,21.26127052
05/09/2016,733.2164917,18.77817535
05/09/2016,732.3081055,14.10911846
06/09/2016,736.4626465,16.00153732
06/09/2016,733.4158325,15.20286846
06/09/2016,734.6323853,11.24487686
06/09/2016,734.8320313,15.9472332
07/09/2016,734.2382202,25.64805412
07/09/2016,718.9606934,22.29610634
07/09/2016,718.1299438,20.78329849
07/09/2016,717.6257935,14.10758209
07/09/2016,731.9545288,24.12448692
08/09/2016,731.21875,14.25409794
08/09/2016,732.5474854,13.34221268
08/09/2016,732.2822266,18.50256157
08/09/2016,731.543396,14.30686474
09/09/2016,730.9598389,20.15266418
09/09/2016,731.5672607,22.26229477
09/09/2016,731.3798218,11.34118843
09/09/2016,731.7371216,11.1045084
10/09/2016,723.7892456,15.19774628
10/09/2016,723.4814453,14.26793003
10/09/2016,722.1450195,21.02971268
10/09/2016,723.0021362,19.5527668
11/09/2016,713.8592529,20.50358582
11/09/2016,721.0986938,18.75870895
11/09/2016,721.1439819,22.44262314
11/09/2016,720.9741211,23.81762314
12/09/2016,715.7128296,18.28791046
12/09/2016,713.1828613,18.86833954
12/09/2016,712.6430664,18.65676308
12/09/2016,716.7819824,23.81096268
13/09/2016,714.7310181,19.57325745
13/09/2016,712.7075195,20.96055412
13/09/2016,711.5980225,23.99948692
13/09/2016,712.1746216,23.91649628
14/09/2016,716.0338745,23.32991791
14/09/2016,716.8064575,21.71260262
14/09/2016,715.6949463,23.15727425
15/09/2016,716.302063,17.12961006
15/09/2016,715.5421143,18.08965111
15/09/2016,721.9545898,19.44416046
15/09/2016,722.0039673,18.11833954
16/09/2016,721.5640869,18.74282837
16/09/2016,721.9106445,22.23411942
16/09/2016,722.1467285,19.53483582
16/09/2016,723.0769043,17.21055412
17/09/2016,721.78302,26.40010262
17/09/2016,720.9040527,26.1777668
17/09/2016,721.8997803,26.34016418
17/09/2016,721.5166016,26.32633209
18/09/2016,721.6903076,26.22284889
18/09/2016,721.8900146,25.91905785
18/09/2016,721.6838989,20.60809517
18/09/2016,716.257019,17.62704849
19/09/2016,718.3520508,17.16905785
19/09/2016,719.0455322,14.74487686
19/09/2016,720.230957,13.84631157
19/09/2016,719.1455078,11.67161846
20/09/2016,719.2330933,10.67366791
20/09/2016,718.0479126,13.82940578
20/09/2016,718.6847534,13.00819683
20/09/2016,723.0444946,18.27715111
21/09/2016,723.3370972,19.01793098
21/09/2016,722.9226685,17.68954849
21/09/2016,723.62323,16.06301308
21/09/2016,723.8968506,19.49590111
22/09/2016,723.8065796,14.50922108
22/09/2016,725.0456543,15.99641418
22/09/2016,724.7814331,16.81813431
22/09/2016,725.0999146,15.10911846
23/09/2016,725.7717896,14.34682369
23/09/2016,725.199585,16.53381157
23/09/2016,725.5912476,15.30071735
23/09/2016,724.133728,12.38883209
24/09/2016,722.7612305,17.90010262
24/09/2016,722.9034424,16.13934517
24/09/2016,724.2572021,14.31045055
24/09/2016,723.7959595,9.225409508
25/09/2016,724.8172607,14.22899628
25/09/2016,724.656189,12.64907742
25/09/2016,724.2247314,12.24743843
25/09/2016,724.8095703,12.15829945
26/09/2016,727.6895142,12.50512314
26/09/2016,728.2944336,23.93647575
26/09/2016,728.21521,23.00358582
26/09/2016,728.2544556,20.23872948
27/09/2016,727.8618774,17.08555412
27/09/2016,727.12854,18.70235634
27/09/2016,728.2680054,19.64958954
27/09/2016,728.3646851,17.82991791
28/09/2016,728.6013184,19.65368843
28/09/2016,724.1420898,18.52868843
28/09/2016,696.914917,17.77100372
28/09/2016,695.6838989,12.39907742
29/09/2016,696.6705933,19.90420151
29/09/2016,697.3800659,15.63883209
29/09/2016,697.2450562,16.40010262
29/09/2016,696.6799316,19.78842163
30/09/2016,697.5775146,17.52920151
30/09/2016,697.3464355,14.95338154
30/09/2016,696.2964478,14.56506157
30/09/2016,697.1543579,18.24129105
30/09/2016,696.5612183,17.41956902
30/09/2016,695.3603516,18.74641418
01/10/2016,696.6589355,16.53483582
01/10/2016,696.2946167,17.43801308
01/10/2016,696.3998413,18.60706902
01/10/2016,696.8463745,18.00307465
01/10/2016,694.9692993,16.60194588
02/10/2016,694.8884888,15.29918003
02/10/2016,695.0231323,17.70850372
02/10/2016,694.6967773,16.78739738
02/10/2016,694.520813,15.64088154
03/10/2016,695.0053711,20.67520523
03/10/2016,694.3552246,20.42725372
03/10/2016,694.47052,15.23821735
03/10/2016,694.8616943,16.20338058
04/10/2016,694.6177979,14.68032742
04/10/2016,694.4920044,14.81711102
